PROVINCIA,DISTRITO,POBLACION,VIVIENDAS,VIVIENDAS SIN AGUA,VIVIENDAS CON AGUA
Chincheros,Huaccana,6634,2004,193,1811
Chincheros,Los Chankas,988,301,33,268
Chincheros,Ongoy,2344,734,49,685
Chincheros,El Porvenir,1728,510,12,498
Chincheros,Rocchacc,2689,762,107,655
Chincheros,Chincheros,5293,1528,61,1467
Chincheros,Anco Huallo,10388,3010,194,2816
Chincheros,Ranracancha,4046,1122,117,1005
Chincheros,Ocobamba,6759,2092,162,1930
Chincheros,Uranmarca,2650,831,64,767
Chincheros,Cocharcas,1728,578,98,480
Andahuaylas,"Santa María de
Chicmo",8152,2425,132,2293
Andahuaylas,Talavera,18509,5055,354,4701
Andahuaylas,Andarapa,5459,1762,146,1616
Andahuaylas,"San Antonio de
Cachi",2910,1019,133,886
Andahuaylas,Huancaray,3753,1266,103,1163
Andahuaylas,Turpo,3642,1191,73,1118
Andahuaylas,Andahuaylas,42268,11068,608,10460
Andahuaylas,"José María
Arguedas",4081,1102,45,1057
Andahuaylas,San Jerónimo,20738,5216,377,4839
Andahuaylas,Kishuara,6023,1777,150,1627
Andahuaylas,Pacobamba,3452,1147,164,983
Andahuaylas,Pampachiri,2199,7144,177,6967
Andahuaylas,Kaquibamba,1816,586,15,571
Andahuaylas,Huancarama,5210,1583,112,1471
Andahuaylas,Pomacocha,863,301,28,273
Andahuaylas,Tumay huaraca,1864,651,133,518
Andahuaylas,Huayana,750,256,12,244
Andahuaylas,"San Miguel
Chaccrampa",1613,502,48,454
Andahuaylas,Chiara,1186,429,22,407
Andahuaylas,Pacucha,7989,2304,82,2222
Abancay,Abancay,69028,19446,398,19048
Abancay,Curahuasi,16223,4681,418,4263
Abancay,Huanipaca,2886,1079,229,850
Abancay,"San Pedro de
Cachora",2541,838,154,684
Abancay,Tamburco,10861,3080,81,2999
Abancay,Pichirhua,2774,1023,290,733
Abancay,Lambrama,3002,1224,275,949
Abancay,Circa,1866,804,164,640
Abancay,Chacoche,1339,463,27,436
Grau,Virundo,675,243,22,221
Grau,Turpay,628,261,41,220
Grau,Pataypampa,798,274,169,105
Grau,Mamara,858,333,73,260
Grau,San Antonio,272,125,34,91
Grau,"Micaela
Bastidas",935,307,66,241
Grau,Santa Rosa,560,234,22,212
Grau,Chuquibambilla,5023,1429,310,1119
Grau,Curasco,1229,388,103,285
Grau,Pogreso,2945,877,436,441
Grau,Vilcabamba,1233,409,30,379
Grau,Curpahuasi,1936,706,137,569
Grau,Huayllati,1368,448,96,352
Grau,Gamarra,2782,975,50,925
Cotabambas,Cotabambas,3886,1223,91,1132
Cotabambas,Tambobamba,10381,2953,474,2479
Cotabambas,Coyllurqui,6586,2111,406,1705
Cotabambas,Nara,5848,1796,275,1521
Cotabambas,"Challhuahuach
o",14525,3267,800,2467
Cotabambas,Haquira,9430,3161,813,2348
Antabamba,Oropesa,2268,740,248,492
Antabamba,Huaquirca,1841,492,117,375
Antabamba,Antabamba,2776,994,245,749
Antabamba,"Juan Espinoza
Medrano",1711,662,93,569
Antabamba,Sabaino,1108,423,83,340
Antabamba,Pachaconas,1054,385,48,337
Antabamba,El oro,552,275,61,214
Aymaraes,Tintay,2272,832,97,735
Aymaraes,"San Juan de
Chacña",769,261,12,249
Aymaraes,Lucre,1529,519,41,478
Aymaraes,Chapimarca,1893,721,280,441
Aymaraes,Colcabamba,693,260,5,255
Aymaraes,Toraya,1278,514,24,490
Aymaraes,Ihuayllo,462,195,9,186
Aymaraes,Tapairihua,1848,727,99,628
Aymaraes,"Justo Apu
Sahuaraura",735,300,76,224
Aymaraes,Pocohuanca,1022,416,25,391
Aymaraes,Yanaca,981,357,128,229
Aymaraes,Soraya,711,272,67,205
Aymaraes,Capaya,580,236,32,204
Aymaraes,Sañayca,1107,409,80,329
Aymaraes,Chalhuanca,4928,1399,111,1288
Aymaraes,Caraybamba,929,357,34,323
Aymaraes,Cotaruse,2570,818,131,687
